Class,Name,Brand,Group,RAW SIZE,Diameter,Width,BOLT PATTERN,BOLT PATTERN #2,Centerbore,Finish,Purchase Description,Inventory Location,Location Available,Location On Order,Location On Water,China Stock,Production 2025,0-30 Days,31-90 Days,91-365 Days,0-60 days (0-2 mo),61-120 days (2-4 mo),121-180 days (4 to 6 mo),121-365 days  (4 to 12 mo),121-548 days (4 to 18 mo),121+ Days (all time),ALL Time,Average Cost,Location Average Cost,Price Level A,Price Level AC,Price Level C,Price Level D,Price Level E,Price Level H,Price Level DC-A,MAP,Purchase Price,SFTP,Profit %,On Sale,Discontinued Item,Exclude From Average Cost Update,Location Last Invoice Date,Location Last Receipt Date from PO,Location Last Receipt Date from TO,Location Last Receipt Date from RMA,Last Inventory Adjustment Date,Location Last Receipt Date (Any Type),Location First PO Date,Location First Receipt Date from PO (1st Time Entered Warehouse - Originating From a PO),Location First Receipt Date from TO,Location PO Count,Type
Wheel,ADV-469724X1406132-12NC,Advan,KNG-500,24,24,14,6x132,6x132,78.1,Gloss Black,Advan KNG-500 24x14,"Nashville, TN",59,0,0,0,0,0,1,4,4,2,1,2,3,5,30,94.99,96.53,Retail,154.59,139.87,132.51,125.15,117.78,110.42,125.15,104.49,150.17,35.48,No,No,,9/28/2025,11/5/2025,,,,11/5/2025,9/10/2024,1/3/2025,12/7/2024,10,Inventory Item
Wheel,ADV-469724X1406132-12NC,Advan,KNG-500,24,24,14,6x132,6x132,78.1,Gloss Black,Advan KNG-500 24x14,"Phoenix, AZ",4,25,55,0,0,20,86,169,74,22,40,22,39,27,366,94.99,101.53,Retail,154.59,139.87,132.51,125.15,117.78,110.42,125.15,104.49,150.17,35.48,No,No,,3/3/2026,10/21/2025,,,,10/21/2025,4/23/2024,2/20/2025,,16,Inventory Item
Wheel,HRE-225317X1205120-ZBRM,HRE,KNG-500,17,17,12,5x120,,114.3,Satin Black,HRE KNG-500 17x12,"Houston, TX",34,98,0,0,0,48,138,269,36,51,6,84,23,114,579,52.99,48.62,Retail,82.91,75.01,71.06,67.12,63.17,59.22,67.12,58.29,80.54,32.89,No,No,,2/3/2026,12/6/2025,,,3/12/2026,12/6/2025,6/5/2024,11/20/2024,11/22/2024,14,Inventory Item
Wheel,HRE-225317X1205120-ZBRM,HRE,KNG-500,17,17,12,5x120,,114.3,Satin Black,HRE KNG-500 17x12,"Dallas, TX",70,0,59,0,0,43,134,235,83,12,32,35,15,170,303,52.99,56.43,Retail,82.91,75.01,71.06,67.12,63.17,59.22,67.12,58.29,80.54,32.89,No,No,,3/11/2026,4/6/2025,,,,4/6/2025,4/21/2024,8/17/2024,,7,Inventory Item
Wheel,HRE-225317X1205120-ZBRM,HRE,KNG-500,17,17,12,5x120,,114.3,Satin Black,HRE KNG-500 17x12,"Phoenix, AZ",31,0,0,0,0,6,56,23,19,23,33,92,31,45,564,52.99,50.08,Retail,82.91,75.01,71.06,67.12,63.17,59.22,67.12,58.29,80.54,32.89,No,No,,3/15/2026,1/10/2026,,,,1/10/2026,10/10/2024,5/9/2024,,16,Inventory Item
Wheel,HRE-225317X1205120-ZBRM,HRE,KNG-500,17,17,12,5x120,5x120,114.3,Satin Black,HRE KNG-500 17x12,"Atlanta, GA",10,0,11,150,0,71,81,114,93,46,55,51,22,42,379,52.99,51.57,Retail,82.91,75.01,71.06,67.12,63.17,59.22,67.12,58.29,80.54,32.89,No,No,,11/4/2025,2/8/2026,,,12/12/2025,2/8/2026,11/11/2024,12/23/2024,9/18/2024,4,Inventory Item
Wheel,ADV-763618X1405114.3TB,Advan,BBS-CH-R,18,18,14,5x114.3,5x114.3,78.1,Gunmetal,Advan BBS-CH-R 18x14,"Atlanta, GA",71,0,18,0,0,67,18,278,68,35,59,60,10,84,599,46.99,47.39,Retail,66.61,60.27,57.1,53.92,50.75,47.58,53.92,51.69,64.71,25.93,No,No,,10/24/2025,12/9/2025,,,,12/9/2025,6/25/2024,8/17/2024,4/27/2024,11,Inventory Item
Wheel,ADV-763618X1405114.3TB,Advan,BBS-CH-R,18,18,14,5x114.3,,78.1,Gunmetal,Advan BBS-CH-R 18x14,"Charlotte, NC",15,0,0,0,0,22,62,187,45,70,27,43,11,24,656,46.99,49.64,Retail,66.61,60.27,57.1,53.92,50.75,47.58,53.92,51.69,64.71,25.93,No,No,,11/16/2025,8/6/2025,,,,8/6/2025,7/28/2024,8/20/2024,,6,Inventory Item
Wheel,ADV-763618X1405114.3TB,Advan,BBS-CH-R,18,18,14,5x114.3,,78.1,Gunmetal,Advan BBS-CH-R 18x14,"Phoenix, AZ",32,7,0,0,0,4,9,47,27,7,14,15,8,10,196,46.99,44.69,Retail,66.61,60.27,57.1,53.92,50.75,47.58,53.92,51.69,64.71,25.93,No,No,,2/12/2026,10/8/2025,,,,10/8/2025,12/15/2024,8/15/2024,,20,Inventory Item
Wheel,ADV-763618X1405114.3TB,Advan,BBS-CH-R,18,18,14,5x114.3,,78.1,Gunmetal,Advan BBS-CH-R 18x14,"Nashville, TN",67,0,0,159,0,1,6,10,4,3,0,4,3,1,18,46.99,44.43,Retail,66.61,60.27,57.1,53.92,50.75,47.58,53.92,51.69,64.71,25.93,No,No,,3/3/2026,4/24/2025,,,,4/24/2025,9/24/2024,9/17/2024,,19,Inventory Item
Wheel,ENK-917528X1008170MTBR,Enkei,TSW-Nurburgring,28,28,10,8x170,,72.6,Gloss Black,Enkei TSW-Nurburgring 28x10,"Dallas, TX",70,0,0,53,0,26,109,83,16,49,37,100,71,128,305,142.99,153.04,Retail,220.71,199.69,189.18,178.67,168.16,157.65,178.67,157.29,214.4,31.97,No,No,,10/28/2025,2/14/2026,,,3/16/2026,2/14/2026,1/24/2025,3/16/2025,9/22/2024,18,Inventory Item
Wheel,ENK-917528X1008170MTBR,Enkei,TSW-Nurburgring,28,28,10,8x170,,72.6,Gloss Black,Enkei TSW-Nurburgring 28x10,"Tampa, FL",47,0,0,0,0,0,0,0,0,0,0,0,0,0,5,142.99,135,Retail,220.71,199.69,189.18,178.67,168.16,157.65,178.67,157.29,214.4,31.97,No,No,,2/22/2026,2/21/2026,8/1/2025,,,2/21/2026,1/29/2025,7/6/2024,,11,Inventory Item
Wheel,ENK-917528X1008170MTBR,Enkei,TSW-Nurburgring,28,28,10,8x170,,72.6,Gloss Black,Enkei TSW-Nurburgring 28x10,"Orlando, FL",8,0,0,0,0,0,1,2,2,3,2,1,1,10,24,142.99,135.51,Retail,220.71,199.69,189.18,178.67,168.16,157.65,178.67,157.29,214.4,31.97,No,No,,12/14/2025,5/27/2025,,,,5/27/2025,7/9/2024,11/30/2024,,11,Inventory Item
Wheel,ENK-917528X1008170MTBR,Enkei,TSW-Nurburgring,28,28,10,8x170,,72.6,Gloss Black,Enkei TSW-Nurburgring 28x10,"Nashville, TN",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.99,141.84,Retail,220.71,199.69,189.18,178.67,168.16,157.65,178.67,157.29,214.4,31.97,No,No,,,3/16/2026,,,,3/16/2026,5/16/2024,8/18/2024,,8,Inventory Item
Wheel,HRE-899126X805108SB,HRE,WRK-Emotion,26,26,8,5x108,,110.1,Flat Black,HRE WRK-Emotion 26x8,"Charlotte, NC",46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,138.99,129.33,Retail,191.18,172.98,163.87,154.77,145.66,136.56,154.77,152.89,185.72,23.67,No,No,,12/30/2025,5/17/2025,,,,5/17/2025,5/12/2024,1/22/2025,,15,Inventory Item
Wheel,HRE-899126X805108SB,HRE,WRK-Emotion,26,26,8,5x108,,110.1,Flat Black,HRE WRK-Emotion 26x8,"Tampa, FL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,138.99,140.11,Retail,191.18,172.98,163.87,154.77,145.66,136.56,154.77,152.89,185.72,23.67,No,No,,2/22/2026,5/30/2025,,,,5/30/2025,3/8/2025,3/25/2025,,14,Inventory Item
Wheel,RAY-240218X1405114.3-12NC,Rays,KNG-500,18,18,14,5x114.3,5x114.3,72.6,Matte Black,Rays KNG-500 18x14,"Tampa, FL",70,0,0,38,0,52,129,169,43,37,37,71,33,50,648,81.99,88.64,Retail,112.78,102.04,96.67,91.3,85.93,80.56,91.3,90.19,109.56,23.67,No,No,,11/26/2025,4/13/2025,,,12/18/2025,4/13/2025,1/9/2025,6/4/2024,,20,Inventory Item
Wheel,RAY-240218X1405114.3-12NC,Rays,KNG-500,18,18,14,5x114.3,5x114.3,72.6,Matte Black,Rays KNG-500 18x14,"Houston, TX",38,0,0,0,0,1,2,10,2,1,1,8,3,0,32,81.99,83.65,Retail,112.78,102.04,96.67,91.3,85.93,80.56,91.3,90.19,109.56,23.67,No,No,,9/29/2025,10/30/2025,,,,10/30/2025,1/28/2025,8/12/2024,4/25/2024,15,Inventory Item
Wheel,HRE-665117X905114.3TB,HRE,KNG-500,17,17,9,5x114.3,,87.1,Gunmetal,HRE KNG-500 17x9,"Tampa, FL",6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,132.99,124.27,Retail,216.44,195.82,185.52,175.21,164.9,154.6,175.21,146.29,210.25,35.48,No,No,,12/22/2025,7/27/2025,,,,7/27/2025,10/18/2024,12/23/2024,,16,Inventory Item
Wheel,HRE-665117X905114.3TB,HRE,KNG-500,17,17,9,5x114.3,,87.1,Gunmetal,HRE KNG-500 17x9,"Atlanta, GA",76,0,0,0,0,8,29,145,60,58,46,77,9,29,557,132.99,129.94,Retail,216.44,195.82,185.52,175.21,164.9,154.6,175.21,146.29,210.25,35.48,No,No,,1/29/2026,12/25/2025,,,,12/25/2025,10/7/2024,4/22/2024,,16,Inventory Item
Wheel,HRE-665117X905114.3TB,HRE,KNG-500,17,17,9,5x114.3,,87.1,Gunmetal,HRE KNG-500 17x9,"Phoenix, AZ",51,0,0,0,0,20,17,93,14,73,31,17,60,107,504,132.99,122.97,Retail,216.44,195.82,185.52,175.21,164.9,154.6,175.21,146.29,210.25,35.48,No,No,,3/20/2026,12/31/2025,,,,12/31/2025,4/19/2024,10/9/2024,,1,Inventory Item
Wheel,HRE-665117X905114.3TB,HRE,KNG-500,17,17,9,5x114.3,,87.1,Gunmetal,HRE KNG-500 17x9,"Houston, TX",44,0,0,81,0,0,0,0,0,0,0,0,0,0,5,132.99,145.83,Retail,216.44,195.82,185.52,175.21,164.9,154.6,175.21,146.29,210.25,35.48,No,No,,3/2/2026,3/10/2026,,,,3/10/2026,11/26/2024,8/14/2024,12/7/2024,11,Inventory Item
Wheel,ENK-448028X1405127SB,Enkei,WRK-Emotion,28,28,14,5x127,,87.1,Satin Black,Enkei WRK-Emotion 28x14,"Phoenix, AZ",46,0,56,86,0,11,46,69,92,31,51,20,28,66,399,137.99,125.27,Retail,198.5,179.6,170.15,160.69,151.24,141.79,160.69,151.79,192.83,27.01,No,No,,12/3/2025,6/19/2025,,1/5/2026,3/1/2026,6/19/2025,12/2/2024,12/19/2024,4/6/2024,1,Inventory Item
Wheel,ENK-448028X1405127SB,Enkei,WRK-Emotion,28,28,14,5x127,,87.1,Satin Black,Enkei WRK-Emotion 28x14,"Atlanta, GA",59,0,0,0,0,80,128,108,19,67,24,119,56,104,397,137.99,139.22,Retail,198.5,179.6,170.15,160.69,151.24,141.79,160.69,151.79,192.83,27.01,No,No,,10/1/2025,9/14/2025,7/5/2025,,,9/14/2025,6/20/2024,7/18/2024,,18,Inventory Item
Wheel,ENK-448028X1405127SB,Enkei,WRK-Emotion,28,28,14,5x127,,87.1,Satin Black,Enkei WRK-Emotion 28x14,"Houston, TX",6,37,0,0,0,0,0,0,0,0,0,0,0,0,3,137.99,147.56,Retail,198.5,179.6,170.15,160.69,151.24,141.79,160.69,151.79,192.83,27.01,No,No,,10/11/2025,2/9/2026,,,,2/9/2026,10/21/2024,9/20/2024,10/3/2024,8,Inventory Item
Wheel,BBS-965628X1055127-24GB,BBS,VSN-CVT,28,28,10.5,5x127,,114.3,Silver Machined,BBS VSN-CVT 28x10.5,"Phoenix, AZ",67,38,0,0,0,0,0,0,0,0,0,0,0,0,4,143.99,157.25,Retail,222.25,201.09,190.5,179.92,169.34,158.75,179.92,158.39,215.9,31.97,No,No,,3/10/2026,3/16/2026,,,,3/16/2026,7/13/2024,3/16/2025,12/25/2024,7,Inventory Item
Wheel,BBS-965628X1055127-24GB,BBS,VSN-CVT,28,28,10.5,5x127,,114.3,Silver Machined,BBS VSN-CVT 28x10.5,"Nashville, TN",58,0,0,0,0,32,81,179,88,29,6,63,7,157,490,143.99,145.55,Retail,222.25,201.09,190.5,179.92,169.34,158.75,179.92,158.39,215.9,31.97,No,No,,12/10/2025,10/5/2025,,,,10/5/2025,12/25/2024,12/14/2024,,3,Inventory Item
Wheel,ADV-669324X1008170-18MB,Advan,ENK-92,24,24,10,8x170,,110.1,Flat Black,Advan ENK-92 24x10,"Orlando, FL",62,0,0,87,80,3,38,67,27,4,6,11,12,57,175,210.99,204.25,Retail,350.03,316.69,300.02,283.36,266.69,250.02,283.36,232.09,340.03,36.71,No,Yes,,10/15/2025,7/31/2025,,,,7/31/2025,2/16/2025,9/10/2024,7/30/2024,10,Inventory Item
Wheel,ADV-669324X1008170-18MB,Advan,ENK-92,24,24,10,8x170,,110.1,Flat Black,Advan ENK-92 24x10,"Dallas, TX",16,57,0,0,0,25,31,100,98,80,53,33,59,69,627,210.99,193.79,Retail,350.03,316.69,300.02,283.36,266.69,250.02,283.36,232.09,340.03,36.71,No,Yes,,12/16/2025,3/20/2026,,,,3/20/2026,10/13/2024,7/2/2024,6/2/2024,13,Inventory Item
Wheel,ADV-669324X1008170-18MB,Advan,ENK-92,24,24,10,8x170,,110.1,Flat Black,Advan ENK-92 24x10,"Houston, TX",59,0,0,0,0,42,17,113,92,50,15,16,73,81,566,210.99,195.27,Retail,350.03,316.69,300.02,283.36,266.69,250.02,283.36,232.09,340.03,36.71,No,Yes,,2/12/2026,10/27/2025,,,10/11/2025,10/27/2025,9/8/2024,3/21/2025,,3,Inventory Item
Wheel,HRE-630126X905127SB,HRE,RYS-TE37,26,26,9,5x127,,74.1,Gunmetal,HRE RYS-TE37 26x9,"Tampa, FL",61,0,0,0,0,36,116,213,51,36,57,59,17,50,271,76.99,84.08,Retail,128.53,116.29,110.17,104.05,97.93,91.81,104.05,84.69,124.86,37.1,No,No,,10/24/2025,10/17/2025,,,,10/17/2025,7/5/2024,4/4/2024,,15,Inventory Item
Wheel,HRE-630126X905127SB,HRE,RYS-TE37,26,26,9,5x127,,74.1,Gunmetal,HRE RYS-TE37 26x9,"Charlotte, NC",63,0,0,0,0,61,18,254,24,11,31,59,48,180,483,76.99,71.05,Retail,128.53,116.29,110.17,104.05,97.93,91.81,104.05,84.69,124.86,37.1,No,No,,12/18/2025,11/24/2025,,,,11/24/2025,5/9/2024,7/18/2024,,10,Inventory Item
Wheel,HRE-630126X905127SB,HRE,RYS-TE37,26,26,9,5x127,5x127,74.1,Gunmetal,HRE RYS-TE37 26x9,"Dallas, TX",72,0,0,75,0,1,3,0,1,1,2,5,2,8,9,76.99,70.97,Retail,128.53,116.29,110.17,104.05,97.93,91.81,104.05,84.69,124.86,37.1,No,No,,11/8/2025,4/2/2025,,,,4/2/2025,1/10/2025,3/5/2025,,14,Inventory Item
Wheel,HRE-505517X1206135-24GB,HRE,KNG-500,17,17,12,6x135,6x135,72.6,Silver Machined,HRE KNG-500 17x12,"Orlando, FL",35,0,0,0,0,2,3,2,4,1,2,2,0,0,28,192.99,211.05,Retail,263.43,238.35,225.8,213.26,200.71,188.17,213.26,212.29,255.91,23.08,No,No,,9/27/2025,7/23/2025,,,,7/23/2025,2/15/2025,11/8/2024,10/15/2024,6,Inventory Item
Wheel,HRE-505517X1206135-24GB,HRE,KNG-500,17,17,12,6x135,,72.6,Silver Machined,HRE KNG-500 17x12,"Charlotte, NC",39,113,0,0,0,1,2,1,2,0,0,0,2,1,11,192.99,202.08,Retail,263.43,238.35,225.8,213.26,200.71,188.17,213.26,212.29,255.91,23.08,No,No,,12/6/2025,11/15/2025,,,,11/15/2025,4/11/2024,3/10/2025,10/14/2024,14,Inventory Item
Wheel,HRE-505517X1206135-24GB,HRE,KNG-500,17,17,12,6x135,,72.6,Silver Machined,HRE KNG-500 17x12,"Dallas, TX",15,0,0,0,0,64,11,157,56,29,17,57,63,30,545,192.99,191.48,Retail,263.43,238.35,225.8,213.26,200.71,188.17,213.26,212.29,255.91,23.08,No,No,,1/3/2026,7/27/2025,,,12/17/2025,7/27/2025,3/4/2025,7/10/2024,,6,Inventory Item
Wheel,KON-352318X1006135-ZBRM,Konig,KNG-500,18,18,10,6x135,,114.3,Gloss Black & Milled,Konig KNG-500 18x10,"Charlotte, NC",66,0,0,0,0,45,65,78,56,58,43,76,63,156,719,133.99,130.28,Retail,202.6,183.3,173.66,164.01,154.36,144.71,164.01,147.39,196.81,30.56,No,No,,10/13/2025,11/14/2025,,,,11/14/2025,2/13/2025,9/30/2024,,9,Inventory Item
Wheel,KON-352318X1006135-ZBRM,Konig,KNG-500,18,18,10,6x135,,114.3,Gloss Black & Milled,Konig KNG-500 18x10,"Atlanta, GA",2,0,0,0,0,2,0,7,2,3,1,8,4,7,17,133.99,140.79,Retail,202.6,183.3,173.66,164.01,154.36,144.71,164.01,147.39,196.81,30.56,No,No,,2/1/2026,11/3/2025,,,,11/3/2025,9/21/2024,11/28/2024,7/24/2024,12,Inventory Item
Wheel,HRE-478726X906139.7-18MB,HRE,RYS-TE37,26,26,9,6x139.7,,110.1,Flat Black,HRE RYS-TE37 26x9,"Charlotte, NC",69,0,0,0,0,0,0,0,0,0,0,0,0,0,4,171.99,178.88,Retail,256.44,232.02,219.81,207.6,195.38,183.17,207.6,189.19,249.11,29.58,No,No,,2/1/2026,4/12/2025,,,3/22/2026,4/12/2025,7/9/2024,8/24/2024,,11,Inventory Item
Wheel,HRE-478726X906139.7-18MB,HRE,RYS-TE37,26,26,9,6x139.7,6x139.7,110.1,Flat Black,HRE RYS-TE37 26x9,"Nashville, TN",71,57,0,0,0,10,20,37,19,17,5,7,14,44,84,171.99,164.45,Retail,256.44,232.02,219.81,207.6,195.38,183.17,207.6,189.19,249.11,29.58,No,No,,10/12/2025,12/14/2025,,,,12/14/2025,10/26/2024,4/3/2024,1/12/2025,12,Inventory Item
Wheel,HRE-478726X906139.7-18MB,HRE,RYS-TE37,26,26,9,6x139.7,,110.1,Flat Black,HRE RYS-TE37 26x9,"Orlando, FL",69,68,0,0,0,72,146,75,64,56,19,80,78,174,509,171.99,159.01,Retail,256.44,232.02,219.81,207.6,195.38,183.17,207.6,189.19,249.11,29.58,No,No,,1/29/2026,12/28/2025,6/7/2025,10/9/2025,,12/28/2025,2/15/2025,4/26/2024,,3,Inventory Item
Wheel,VOS-808924X1005120MTBR,Vossen,VSN-CVT,24,24,10,5x120,5x120,72.6,Satin Black,Vossen VSN-CVT 24x10,"Nashville, TN",19,0,0,0,0,0,2,13,4,3,2,8,3,7,45,254.99,251.75,Retail,404.28,365.78,346.53,327.28,308.02,288.77,327.28,280.49,392.73,33.77,No,No,,3/8/2026,1/28/2026,,,,1/28/2026,3/10/2025,9/24/2024,,18,Inventory Item
Wheel,VOS-808924X1005120MTBR,Vossen,VSN-CVT,24,24,10,5x120,,72.6,Satin Black,Vossen VSN-CVT 24x10,"Orlando, FL",2,67,0,15,0,59,56,193,83,47,28,32,62,104,434,254.99,240,Retail,404.28,365.78,346.53,327.28,308.02,288.77,327.28,280.49,392.73,33.77,No,No,,3/14/2026,6/13/2025,,,,6/13/2025,4/29/2024,9/28/2024,,1,Inventory Item
Wheel,ENK-114426X805114.3-12NC,Enkei,BBS-CH-R,26,26,8,5x114.3,,110.1,Silver Machined,Enkei BBS-CH-R 26x8,"Houston, TX",66,55,0,0,0,8,31,58,10,8,0,18,9,33,126,214.99,212.11,Retail,354.41,320.65,303.78,286.9,270.02,253.15,286.9,236.49,344.28,36.3,No,No,,12/16/2025,11/4/2025,6/29/2025,,,11/4/2025,7/24/2024,1/13/2025,,18,Inventory Item
Wheel,ENK-114426X805114.3-12NC,Enkei,BBS-CH-R,26,26,8,5x114.3,,110.1,Silver Machined,Enkei BBS-CH-R 26x8,"Tampa, FL",49,0,0,0,0,10,9,52,18,14,4,34,24,38,189,214.99,206.98,Retail,354.41,320.65,303.78,286.9,270.02,253.15,286.9,236.49,344.28,36.3,No,No,,1/5/2026,4/18/2025,,,10/26/2025,4/18/2025,4/4/2024,12/9/2024,,2,Inventory Item
Wheel,ENK-114426X805114.3-12NC,Enkei,BBS-CH-R,26,26,8,5x114.3,,110.1,Silver Machined,Enkei BBS-CH-R 26x8,"Atlanta, GA",80,0,0,0,0,1,5,8,4,3,0,8,1,10,16,214.99,218.52,Retail,354.41,320.65,303.78,286.9,270.02,253.15,286.9,236.49,344.28,36.3,No,No,,2/7/2026,7/23/2025,,,12/28/2025,7/23/2025,8/25/2024,12/1/2024,1/29/2025,15,Inventory Item
Wheel,ENK-419222X906139.7-24GB,Enkei,BBS-CH-R,22,22,9,6x139.7,,106.1,Bronze,Enkei BBS-CH-R 22x9,"Phoenix, AZ",78,0,0,0,0,1,34,75,11,16,11,25,27,9,81,67.99,61.6,Retail,105.66,95.6,90.57,85.54,80.5,75.47,85.54,74.79,102.64,32.44,No,No,,2/14/2026,3/24/2026,,,,3/24/2026,10/8/2024,4/23/2024,,4,Inventory Item
Wheel,ENK-419222X906139.7-24GB,Enkei,BBS-CH-R,22,22,9,6x139.7,6x139.7,106.1,Bronze,Enkei BBS-CH-R 22x9,"Orlando, FL",14,0,0,0,58,42,115,157,63,41,16,75,36,184,378,67.99,68.83,Retail,105.66,95.6,90.57,85.54,80.5,75.47,85.54,74.79,102.64,32.44,No,No,,3/18/2026,8/2/2025,,,11/12/2025,8/2/2025,11/17/2024,4/28/2024,,3,Inventory Item
